threshold,tn,fp,fn,tp
0.0,0,65,0,35
0.0001,0,65,0,35
0.0002,0,65,0,35
0.0003,0,65,0,35
0.0004,0,65,0,35
0.0005,0,65,0,35
0.0006,0,65,0,35
0.0007,0,65,0,35
0.0008,0,65,0,35
0.0009,0,65,0,35
0.001,0,65,0,35
0.0011,0,65,0,35
0.0012,0,65,0,35
0.0013,0,65,0,35
0.0014,0,65,0,35
0.0015,0,65,0,35
0.0016,1,64,0,35
0.0017,2,63,0,35
0.0018,2,63,0,35
0.0019,3,62,0,35
0.002,3,62,0,35
0.0021,4,61,0,35
0.0022,4,61,0,35
0.0023,5,60,0,35
0.0024,5,60,0,35
0.0025,5,60,0,35
0.0026,6,59,0,35
0.0027,6,59,0,35
0.0028,7,58,0,35
0.0029,7,58,0,35
0.003,7,58,0,35
0.0031,8,57,0,35
0.0032,8,57,0,35
0.0033,8,57,0,35
0.0034,9,56,0,35
0.0035,9,56,0,35
0.0036,9,56,0,35
0.0037,9,56,0,35
0.0038,10,55,0,35
0.0039,10,55,0,35
0.004,10,55,0,35
0.0041,10,55,0,35
0.0042,11,54,0,35
0.0043,11,54,0,35
0.0044,11,54,0,35
0.0045,11,54,0,35
0.0046,12,53,0,35
0.0047,12,53,0,35
0.0048,12,53,0,35
0.0049,12,53,0,35
0.005,12,53,0,35
0.0051,13,52,0,35
0.0052,13,52,0,35
0.0053,13,52,0,35
0.0054,13,52,0,35
0.0055,13,52,0,35
0.0056,14,51,0,35
0.0057,14,51,0,35
0.0058,14,51,0,35
0.0059,14,51,0,35
0.006,14,51,0,35
0.0061,14,51,0,35
0.0062,15,50,0,35
0.0063,15,50,0,35
0.0064,15,50,0,35
0.0065,15,50,0,35
0.0066,15,50,0,35
0.0067,15,50,0,35
0.0068,15,50,0,35
0.0069,16,49,0,35
0.007,16,49,0,35
0.0071,16,49,0,35
0.0072,16,49,0,35
0.0073,16,49,0,35
0.0074,16,49,0,35
0.0075,16,49,0,35
0.0076,17,48,0,35
0.0077,17,48,0,35
0.0078,17,48,0,35
0.0079,17,48,0,35
0.008,17,48,0,35
0.0081,17,48,0,35
0.0082,17,48,0,35
0.0083,17,48,0,35
0.0084,18,47,0,35
0.0085,18,47,0,35
0.0086,18,47,0,35
0.0087,18,47,0,35
0.0088,18,47,0,35
0.0089,18,47,0,35
0.009,18,47,0,35
0.0091,18,47,0,35
0.0092,18,47,0,35
0.0093,19,46,0,35
0.0094,19,46,0,35
0.0095,19,46,0,35
0.0096,19,46,0,35
0.0097,19,46,0,35
0.0098,19,46,0,35
0.0099,19,46,0,35
0.01,19,46,0,35
0.0101,19,46,0,35
0.0102,20,45,0,35
0.0103,20,45,0,35
0.0104,20,45,0,35
0.0105,20,45,0,35
0.0106,20,45,0,35
0.0107,20,45,0,35
0.0108,20,45,0,35
0.0109,20,45,0,35
0.011,20,45,0,35
0.0111,20,45,0,35
0.0112,20,45,0,35
0.0113,21,44,0,35
0.0114,21,44,0,35
0.0115,21,44,0,35
0.0116,21,44,0,35
0.0117,21,44,0,35
0.0118,21,44,0,35
0.0119,21,44,0,35
0.012,21,44,0,35
0.0121,21,44,0,35
0.0122,21,44,0,35
0.0123,21,44,0,35
0.0124,21,44,0,35
0.0125,22,43,0,35
0.0126,22,43,0,35
0.0127,22,43,0,35
0.0128,22,43,0,35
0.0129,22,43,0,35
0.013,22,43,0,35
0.0131,22,43,0,35
0.0132,22,43,0,35
0.0133,22,43,0,35
0.0134,22,43,0,35
0.0135,22,43,0,35
0.0136,22,43,0,35
0.0137,22,43,0,35
0.0138,23,42,0,35
0.0139,23,42,0,35
0.014,23,42,0,35
0.0141,23,42,0,35
0.0142,23,42,0,35
0.0143,23,42,0,35
0.0144,23,42,0,35
0.0145,23,42,0,35
0.0146,23,42,0,35
0.0147,23,42,0,35
0.0148,23,42,0,35
0.0149,23,42,0,35
0.015,23,42,0,35
0.0151,23,42,0,35
0.0152,24,41,0,35
0.0153,24,41,0,35
0.0154,24,41,0,35
0.0155,24,41,0,35
0.0156,24,41,0,35
0.0157,24,41,0,35
0.0158,24,41,0,35
0.0159,24,41,0,35
0.016,24,41,0,35
0.0161,24,41,0,35
0.0162,24,41,0,35
0.0163,24,41,0,35
0.0164,24,41,0,35
0.0165,24,41,0,35
0.0166,24,41,0,35
0.0167,24,41,0,35
0.0168,25,40,0,35
0.0169,25,40,0,35
0.017,25,40,0,35
0.0171,25,40,0,35
0.0172,25,40,0,35
0.0173,25,40,0,35
0.0174,25,40,0,35
0.0175,25,40,0,35
0.0176,25,40,0,35
0.0177,25,40,0,35
0.0178,25,40,0,35
0.0179,25,40,0,35
0.018,25,40,0,35
0.0181,25,40,0,35
0.0182,25,40,0,35
0.0183,25,40,0,35
0.0184,25,40,0,35
0.0185,25,40,0,35
0.0186,26,39,0,35
0.0187,26,39,0,35
0.0188,26,39,0,35
0.0189,26,39,0,35
0.019,26,39,0,35
0.0191,26,39,0,35
0.0192,26,39,0,35
0.0193,26,39,0,35
0.0194,26,39,0,35
0.0195,26,39,0,35
