threshold,tn,fp,fn,tp
0.0,0,651,0,349
0.0001,0,651,0,349
0.0002,0,651,0,349
0.00030000000000000003,0,651,0,349
0.0004,0,651,0,349
0.0005,0,651,0,349
0.0006000000000000001,0,651,0,349
0.0007,0,651,0,349
0.0008,0,651,0,349
0.0009000000000000001,0,651,0,349
0.001,0,651,0,349
0.0011,0,651,0,349
0.0012000000000000001,0,651,0,349
0.0013000000000000002,0,651,0,349
0.0014,0,651,0,349
0.0015,4,647,0,349
0.0016,11,640,0,349
0.0017000000000000001,17,634,0,349
0.0018000000000000002,22,629,0,349
0.0019,28,623,0,349
0.002,33,618,0,349
0.0021000000000000003,38,613,0,349
0.0022,42,609,0,349
0.0023,47,604,0,349
0.0024000000000000002,51,600,0,349
0.0025,55,596,0,349
0.0026000000000000003,59,592,0,349
0.0027,63,588,0,349
0.0028,67,584,0,349
0.0029000000000000002,70,581,0,349
0.003,73,578,0,349
0.0031000000000000003,77,574,0,349
0.0032,80,571,0,349
0.0033,83,568,0,349
0.0034000000000000002,86,565,0,349
0.0035,89,562,0,349
0.0036000000000000003,92,559,0,349
0.0037,94,557,0,349
0.0038,97,554,0,349
0.0039000000000000003,100,551,0,349
0.004,102,549,0,349
0.0041,105,546,0,349
0.004200000000000001,107,544,0,349
0.0043,109,542,1,348
0.0044,112,539,1,348
0.0045000000000000005,114,537,1,348
0.0046,116,535,1,348
0.0047,118,533,1,348
0.0048000000000000004,120,531,1,348
0.0049,122,529,1,348
0.005,124,527,1,348
0.0051,126,525,1,348
0.005200000000000001,128,523,1,348
0.0053,130,521,1,348
0.0054,132,519,1,348
0.0055000000000000005,134,517,1,348
0.0056,136,515,1,348
0.0057,138,513,1,348
0.0058000000000000005,139,512,1,348
0.0059,141,510,1,348
0.006,143,508,1,348
0.0061,144,507,1,348
0.006200000000000001,146,505,1,348
0.0063,148,503,1,348
0.0064,149,502,1,348
0.006500000000000001,151,500,1,348
0.0066,152,499,1,348
0.0067,154,497,1,348
0.0068000000000000005,155,496,1,348
0.006900000000000001,157,494,1,348
0.007,158,493,1,348
0.0071,160,491,1,348
0.007200000000000001,161,490,1,348
0.0073,162,489,1,348
0.0074,164,487,1,348
0.007500000000000001,165,486,1,348
0.0076,166,485,1,348
0.0077,168,483,1,348
0.0078000000000000005,169,482,1,348
0.0079,170,481,1,348
0.008,171,480,1,348
0.0081,173,478,1,348
0.0082,174,477,1,348
0.0083,175,476,1,348
0.008400000000000001,176,475,1,348
0.0085,178,473,1,348
0.0086,179,472,1,348
0.008700000000000001,180,471,1,348
0.0088,181,470,1,348
0.0089,182,469,1,348
0.009000000000000001,183,468,1,348
0.0091,184,467,1,348
0.0092,185,466,1,348
0.009300000000000001,187,464,1,348
0.0094,188,463,1,348
0.0095,189,462,1,348
0.009600000000000001,190,461,1,348
0.0097,191,460,1,348
0.0098,192,459,1,348
0.0099,193,458,1,348
0.01,194,457,1,348
0.010100000000000001,195,456,1,348
0.0102,196,455,1,348
0.0103,197,454,1,348
0.010400000000000001,198,453,1,348
0.0105,199,452,1,348
0.0106,200,451,1,348
0.010700000000000001,201,450,1,348
0.0108,202,449,1,348
0.0109,202,449,1,348
0.011000000000000001,203,448,1,348
0.0111,204,447,1,348
0.0112,205,446,1,348
0.011300000000000001,206,445,1,348
0.0114,207,444,1,348
0.0115,208,443,1,348
0.011600000000000001,209,442,1,348
0.0117,210,441,1,348
0.0118,210,441,1,348
0.0119,211,440,1,348
0.012,212,439,1,348
0.012100000000000001,213,438,1,348
0.0122,214,437,1,348
0.0123,215,436,1,348
0.012400000000000001,215,436,1,348
0.0125,216,435,1,348
0.0126,217,434,1,348
0.012700000000000001,218,433,1,348
0.0128,218,433,1,348
0.0129,219,432,1,348
0.013000000000000001,220,431,1,348
0.0131,221,430,1,348
0.0132,222,429,1,348
0.013300000000000001,222,429,1,348
0.0134,223,428,1,348
0.0135,224,427,1,348
0.013600000000000001,225,426,1,348
0.0137,225,426,1,348
0.013800000000000002,226,425,1,348
0.013900000000000001,227,424,1,348
0.014,227,424,1,348
0.014100000000000001,228,423,1,348
0.0142,229,422,2,347
0.0143,230,421,2,347
0.014400000000000001,230,421,2,347
0.0145,231,420,2,347
0.0146,232,419,2,347
0.014700000000000001,232,419,2,347
0.0148,233,418,2,347
0.0149,234,417,2,347
0.015000000000000001,234,417,2,347
0.0151,235,416,2,347
0.0152,236,415,2,347
0.015300000000000001,236,415,2,347
0.0154,237,414,2,347
0.0155,238,413,2,347
0.015600000000000001,238,413,2,347
0.015700000000000002,239,412,2,347
0.0158,240,411,2,347
0.0159,240,411,2,347
0.016,241,410,2,347
0.0161,241,410,2,347
0.0162,242,409,2,347
0.016300000000000002,243,408,2,347
0.0164,243,408,2,347
0.0165,244,407,2,347
0.0166,244,407,2,347
0.0167,245,406,2,347
0.016800000000000002,246,405,2,347
0.016900000000000002,246,405,2,347
0.017,247,404,2,347
0.0171,247,404,2,347
0.0172,248,403,2,347
0.0173,249,402,2,347
0.017400000000000002,249,402,2,347
0.0175,250,401,2,347
0.0176,250,401,2,347
0.0177,251,400,2,347
0.0178,251,400,2,347
0.0179,252,399,2,347
0.018000000000000002,253,398,2,347
0.0181,253,398,2,347
0.0182,254,397,2,347
0.0183,254,397,2,347
0.0184,255,396,2,347
0.018500000000000003,255,396,2,347
0.018600000000000002,256,395,2,347
0.0187,256,395,2,347
0.0188,257,394,2,347
0.0189,257,394,2,347
0.019,258,393,2,347
0.019100000000000002,259,392,2,347
0.019200000000000002,259,392,2,347
0.0193,260,391,2,347
0.0194,260,391,2,347
0.0195,261,390,2,347
0.0196,261,390,2,347
0.019700000000000002,262,389,2,347
0.0198,262,389,2,347
0.0199,263,388,2,347
0.02,263,388,2,347
0.0201,264,387,2,347
0.020200000000000003,264,387,2,347
0.020300000000000002,265,386,2,347
0.0204,265,386,2,347
0.0205,266,385,2,347
0.0206,266,385,2,347
0.0207,267,384,2,347
0.020800000000000003,267,384,2,347
0.020900000000000002,268,383,2,347
0.021,268,383,2,347
0.0211,268,383,2,347
0.0212,269,382,2,347
0.0213,269,382,2,347
0.021400000000000002,270,381,2,347
0.021500000000000002,270,381,2,347
0.0216,271,380,2,347
0.0217,271,380,2,347
0.0218,272,379,2,347
