threshold,tn,fp,fn,tp
0.0,0,65144,0,34856
0.0001,0,65144,0,34856
0.0002,0,65144,0,34856
0.00030000000000000003,0,65144,0,34856
0.0004,0,65144,0,34856
0.0005,0,65144,0,34856
0.0006000000000000001,0,65144,0,34856
0.0007,0,65144,0,34856
0.0008,0,65144,0,34856
0.0009000000000000001,0,65144,0,34856
0.001,0,65144,0,34856
0.0011,0,65144,0,34856
0.0012000000000000001,0,65144,0,34856
0.0013000000000000002,0,65144,0,34856
0.0014,0,65144,0,34856
0.0015,432,64712,0,34856
0.0016,1077,64067,1,34855
0.0017000000000000001,1683,63461,2,34854
0.0018000000000000002,2255,62889,3,34853
0.0019,2796,62348,4,34852
0.002,3308,61836,5,34851
0.0021000000000000003,3796,61348,6,34850
0.0022,4262,60882,7,34849
0.0023,4706,60438,8,34848
0.0024000000000000002,5132,60012,9,34847
0.0025,5540,59604,11,34845
0.0026000000000000003,5932,59212,12,34844
0.0027,6309,58835,13,34843
0.0028,6673,58471,14,34842
0.0029000000000000002,7024,58120,15,34841
0.003,7363,57781,16,34840
0.0031000000000000003,7691,57453,17,34839
0.0032,8008,57136,18,34838
0.0033,8316,56828,19,34837
0.0034000000000000002,8615,56529,20,34836
0.0035,8905,56239,21,34835
0.0036000000000000003,9186,55958,22,34834
0.0037,9460,55684,23,34833
0.0038,9727,55417,24,34832
0.0039000000000000003,9987,55157,25,34831
0.004,10240,54904,26,34830
0.0041,10487,54657,27,34829
0.004200000000000001,10728,54416,28,34828
0.0043,10963,54181,29,34827
0.0044,11193,53951,30,34826
0.0045000000000000005,11418,53726,31,34825
0.0046,11638,53506,32,34824
0.0047,11853,53291,33,34823
0.0048000000000000004,12063,53081,34,34822
0.0049,12269,52875,35,34821
0.005,12471,52673,36,34820
0.0051,12669,52475,37,34819
0.005200000000000001,12864,52280,38,34818
0.0053,13054,52090,39,34817
0.0054,13241,51903,40,34816
0.0055000000000000005,13424,51720,41,34815
0.0056,13605,51539,42,34814
0.0057,13782,51362,43,34813
0.0058000000000000005,13956,51188,44,34812
0.0059,14126,51018,45,34811
0.006,14295,50849,46,34810
0.0061,14460,50684,47,34809
0.006200000000000001,14622,50522,48,34808
0.0063,14782,50362,49,34807
0.0064,14940,50204,50,34806
0.006500000000000001,15095,50049,51,34805
0.0066,15248,49896,52,34804
0.0067,15398,49746,53,34803
0.0068000000000000005,15546,49598,54,34802
0.006900000000000001,15692,49452,55,34801
0.007,15836,49308,56,34800
0.0071,15978,49166,57,34799
0.007200000000000001,16118,49026,58,34798
0.0073,16256,48888,59,34797
0.0074,16392,48752,60,34796
0.007500000000000001,16526,48618,61,34795
0.0076,16658,48486,62,34794
0.0077,16789,48355,63,34793
0.0078000000000000005,16918,48226,64,34792
0.0079,17046,48098,65,34791
0.008,17171,47973,66,34790
0.0081,17296,47848,67,34789
0.0082,17418,47726,68,34788
0.0083,17540,47604,69,34787
0.008400000000000001,17659,47485,70,34786
0.0085,17778,47366,71,34785
0.0086,17895,47249,72,34784
0.008700000000000001,18010,47134,73,34783
0.0088,18124,47020,74,34782
0.0089,18237,46907,75,34781
0.009000000000000001,18349,46795,76,34780
0.0091,18460,46684,77,34779
0.0092,18569,46575,78,34778
0.009300000000000001,18677,46467,79,34777
0.0094,18784,46360,80,34776
0.0095,18890,46254,81,34775
0.009600000000000001,18995,46149,82,34774
0.0097,19098,46046,83,34773
0.0098,19201,45943,84,34772
0.0099,19302,45842,85,34771
0.01,19403,45741,86,34770
0.010100000000000001,19502,45642,87,34769
0.0102,19601,45543,88,34768
0.0103,19698,45446,89,34767
0.010400000000000001,19795,45349,90,34766
0.0105,19891,45253,91,34765
0.0106,19986,45158,92,34764
0.010700000000000001,20079,45065,93,34763
0.0108,20172,44972,94,34762
0.0109,20265,44879,95,34761
0.011000000000000001,20356,44788,96,34760
0.0111,20446,44698,97,34759
0.0112,20536,44608,98,34758
0.011300000000000001,20625,44519,99,34757
0.0114,20713,44431,100,34756
0.0115,20800,44344,101,34755
0.011600000000000001,20887,44257,102,34754
0.0117,20973,44171,103,34753
0.0118,21058,44086,104,34752
0.0119,21142,44002,105,34751
0.012,21226,43918,106,34750
0.012100000000000001,21309,43835,107,34749
0.0122,21391,43753,108,34748
0.0123,21473,43671,109,34747
0.012400000000000001,21554,43590,110,34746
0.0125,21634,43510,111,34745
0.0126,21714,43430,112,34744
0.012700000000000001,21793,43351,113,34743
0.0128,21871,43273,114,34742
0.0129,21949,43195,115,34741
0.013000000000000001,22026,43118,116,34740
0.0131,22103,43041,117,34739
0.0132,22179,42965,118,34738
0.013300000000000001,22255,42889,119,34737
0.0134,22330,42814,120,34736
0.0135,22404,42740,121,34735
0.013600000000000001,22478,42666,122,34734
0.0137,22551,42593,123,34733
0.013800000000000002,22624,42520,124,34732
0.013900000000000001,22696,42448,125,34731
0.014,22768,42376,126,34730
0.014100000000000001,22839,42305,127,34729
0.0142,22909,42235,128,34728
0.0143,22980,42164,130,34726
0.014400000000000001,23049,42095,131,34725
0.0145,23118,42026,132,34724
0.0146,23187,41957,133,34723
0.014700000000000001,23255,41889,134,34722
0.0148,23323,41821,135,34721
0.0149,23391,41753,136,34720
0.015000000000000001,23457,41687,137,34719
0.0151,23524,41620,138,34718
0.0152,23590,41554,139,34717
0.015300000000000001,23656,41488,140,34716
0.0154,23721,41423,141,34715
0.0155,23785,41359,142,34714
0.015600000000000001,23850,41294,143,34713
0.015700000000000002,23914,41230,144,34712
0.0158,23977,41167,145,34711
0.0159,24040,41104,146,34710
0.016,24103,41041,147,34709
0.0161,24165,40979,148,34708
0.0162,24227,40917,149,34707
0.016300000000000002,24289,40855,150,34706
0.0164,24350,40794,151,34705
0.0165,24411,40733,152,34704
0.0166,24471,40673,153,34703
0.0167,24531,40613,154,34702
0.016800000000000002,24591,40553,155,34701
0.016900000000000002,24650,40494,156,34700
0.017,24709,40435,157,34699
0.0171,24768,40376,158,34698
0.0172,24826,40318,159,34697
0.0173,24884,40260,160,34696
0.017400000000000002,24942,40202,161,34695
0.0175,24999,40145,162,34694
0.0176,25056,40088,163,34693
0.0177,25113,40031,164,34692
0.0178,25169,39975,165,34691
0.0179,25225,39919,166,34690
0.018000000000000002,25281,39863,167,34689
0.0181,25336,39808,168,34688
0.0182,25391,39753,169,34687
0.0183,25446,39698,170,34686
0.0184,25500,39644,171,34685
0.018500000000000003,25555,39589,172,34684
0.018600000000000002,25609,39535,173,34683
0.0187,25662,39482,174,34682
0.0188,25716,39428,175,34681
0.0189,25769,39375,176,34680
0.019,25821,39323,177,34679
0.019100000000000002,25874,39270,178,34678
0.019200000000000002,25926,39218,179,34677
0.0193,25978,39166,180,34676
0.0194,26030,39114,181,34675
0.0195,26081,39063,182,34674
0.0196,26132,39012,183,34673
0.019700000000000002,26183,38961,184,34672
0.0198,26234,38910,185,34671
0.0199,26284,38860,186,34670
0.02,26334,38810,187,34669
0.0201,26384,38760,189,34667
0.020200000000000003,26434,38710,190,34666
0.020300000000000002,26483,38661,191,34665
0.0204,26532,38612,192,34664
0.0205,26581,38563,193,34663
0.0206,26630,38514,194,34662
0.0207,26678,38466,195,34661
0.020800000000000003,26727,38417,196,34660
0.020900000000000002,26774,38370,197,34659
0.021,26822,38322,198,34658
0.0211,26870,38274,199,34657
0.0212,26917,38227,200,34656
0.0213,26964,38180,201,34655
0.021400000000000002,27011,38133,202,34654
0.021500000000000002,27058,38086,203,34653
0.0216,27104,38040,204,34652
0.0217,27150,37994,205,34651
0.0218,27196,37948,206,34650
0.0219,27242,37902,207,34649
0.022000000000000002,27287,37857,208,34648
0.0221,27333,37811,209,34647
0.0222,27378,37766,210,34646
0.0223,27423,37721,211,34645
0.0224,27468,37676,212,34644
0.022500000000000003,27512,37632,213,34643
0.022600000000000002,27556,37588,214,34642
0.0227,27601,37543,215,34641
0.0228,27645,37499,216,34640
0.0229,27688,37456,217,34639
0.023,27732,37412,218,34638
0.023100000000000002,27775,37369,219,34637
0.023200000000000002,27818,37326,220,34636
0.0233,27862,37282,221,34635
0.0234,27904,37240,222,34634
0.0235,27947,37197,223,34633
0.0236,27989,37155,224,34632
0.023700000000000002,28032,37112,225,34631
0.0238,28074,37070,226,34630
0.0239,28116,37028,227,34629
0.024,28158,36986,228,34628
0.0241,28199,36945,229,34627
0.024200000000000003,28241,36903,230,34626
0.024300000000000002,28282,36862,231,34625
0.0244,28323,36821,232,34624
0.0245,28364,36780,234,34622
0.0246,28404,36740,235,34621
