threshold,tn,fp,fn,tp
0,394,257,51,298
1,318,333,189,160
2,452,199,175,174
3,277,374,194,155
4,339,312,181,168
5,382,269,166,183
6,251,400,158,191
7,267,384,43,306
8,376,275,198,151
9,325,326,173,176
10,201,450,207,142
11,319,332,190,159
12,256,395,155,194
13,435,216,110,239
14,249,402,162,187
15,294,357,116,233
16,411,240,90,259
17,328,323,174,175
18,242,409,193,156
19,386,265,184,165
20,241,410,53,296
21,209,442,144,205
22,321,330,181,168
23,311,340,199,150
24,384,267,209,140
25,381,270,85,264
26,350,301,218,131
27,317,334,121,228
28,326,325,36,313
29,233,418,65,284
