threshold,tn,fp,fn,tp
0,39453,25691,5060,29796
1,31795,33349,18912,15944
2,45225,19919,17460,17396
3,27754,37390,19359,15497
4,33937,31207,18079,16777
5,38253,26891,16533,18323
6,25091,40053,15802,19054
7,26730,38414,4248,30608
8,37629,27515,19770,15086
9,32534,32610,17246,17610
10,20081,45063,20631,14225
11,31915,33229,18960,15896
12,25664,39480,15489,19367
13,43558,21586,10957,23899
14,24950,40194,16194,18662
15,29380,35764,11538,23318
16,41107,24037,8982,25874
17,32868,32276,17349,17507
18,24188,40956,19294,15562
19,38669,26475,18379,16477
20,24149,40995,5287,29569
21,20933,44211,14423,20433
22,32124,33020,18102,16754
23,31079,34065,19864,14992
24,38443,26701,20831,14025
25,38117,27027,8460,26396
26,34979,30165,21789,13067
27,31715,33429,12097,22759
28,32641,32503,3606,31250
29,23316,41828,6522,28334
